Time,Datastream Name,Value
2022-03-22 04:38:00,Fine Particles 10,26.0
2022-03-22 04:38:00,ABC Status,1.0
2022-03-22 04:36:00,CO2,483.0
2022-03-22 04:36:00,PRESSURE,1038.0
2022-03-22 04:36:00,Temperature,18.0
2022-03-22 04:36:00,Relative Humidity,36.0
2022-03-22 04:36:00,Fine Particles 2_5,17.0
2022-03-22 04:36:00,Fine Particles 10,29.0
2022-03-22 04:36:00,ABC Status,1.0
2022-03-22 04:34:00,CO2,483.0
2022-03-22 04:34:00,PRESSURE,1038.0
2022-03-22 04:34:00,Temperature,18.0
2022-03-22 04:34:00,Relative Humidity,36.0
2022-03-22 04:34:00,Fine Particles 2_5,15.0
2022-03-22 04:34:00,Fine Particles 10,26.0
2022-03-22 04:34:00,ABC Status,1.0
2022-03-22 04:32:00,CO2,484.0
2022-03-22 04:32:00,PRESSURE,1038.0
2022-03-22 04:32:00,Temperature,18.0
2022-03-22 04:32:00,Relative Humidity,36.0
2022-03-22 04:32:00,Fine Particles 2_5,15.0
2022-03-22 04:32:00,Fine Particles 10,26.0
2022-03-22 04:32:00,ABC Status,1.0
2022-03-22 04:30:00,CO2,480.0
2022-03-22 04:30:00,PRESSURE,1038.0
2022-03-22 04:30:00,Temperature,18.0
2022-03-22 04:30:00,Relative Humidity,36.0
2022-03-22 04:30:00,Fine Particles 2_5,15.0
2022-03-22 04:30:00,Fine Particles 10,26.0
2022-03-22 04:30:00,ABC Status,1.0
2022-03-22 04:28:00,CO2,476.0
2022-03-22 04:28:00,PRESSURE,1038.0
2022-03-22 04:28:00,Temperature,18.0
2022-03-22 04:28:00,Relative Humidity,36.0
2022-03-22 04:28:00,Fine Particles 2_5,15.0
2022-03-22 04:28:00,Fine Particles 10,26.0
2022-03-22 04:28:00,ABC Status,1.0
2022-03-22 04:26:00,CO2,472.0
2022-03-22 04:26:00,PRESSURE,1038.0
2022-03-22 04:26:00,Temperature,18.0
2022-03-22 04:26:00,Relative Humidity,36.0
2022-03-22 04:26:00,Fine Particles 2_5,17.0
2022-03-22 04:26:00,Fine Particles 10,29.0
2022-03-22 04:26:00,ABC Status,1.0
2022-03-22 04:24:00,CO2,473.0
2022-03-22 04:24:00,PRESSURE,1038.0
2022-03-22 04:24:00,Temperature,18.0
