Time,Datastream Name,Value
2022-03-26 21:58:00,Fine Particles 2_5,5.0
2022-03-26 21:58:00,Fine Particles 10,9.0
2022-03-26 21:58:00,ABC Status,1.0
2022-03-26 21:56:00,CO2,400.0
2022-03-26 21:56:00,PRESSURE,1037.0
2022-03-26 21:56:00,Temperature,21.0
2022-03-26 21:56:00,Relative Humidity,28.0
2022-03-26 21:56:00,Fine Particles 2_5,5.0
2022-03-26 21:56:00,Fine Particles 10,9.0
2022-03-26 21:56:00,ABC Status,1.0
2022-03-26 21:54:00,CO2,400.0
2022-03-26 21:54:00,PRESSURE,1037.0
2022-03-26 21:54:00,Temperature,21.0
2022-03-26 21:54:00,Relative Humidity,28.0
2022-03-26 21:54:00,Fine Particles 2_5,5.0
2022-03-26 21:54:00,Fine Particles 10,9.0
2022-03-26 21:54:00,ABC Status,1.0
2022-03-26 21:52:00,CO2,400.0
2022-03-26 21:52:00,PRESSURE,1037.0
2022-03-26 21:52:00,Temperature,21.0
2022-03-26 21:52:00,Relative Humidity,28.0
2022-03-26 21:52:00,Fine Particles 2_5,4.0
2022-03-26 21:52:00,Fine Particles 10,7.0
2022-03-26 21:52:00,ABC Status,1.0
2022-03-26 21:50:00,CO2,400.0
2022-03-26 21:50:00,PRESSURE,1037.0
2022-03-26 21:50:00,Temperature,21.0
2022-03-26 21:50:00,Relative Humidity,28.0
2022-03-26 21:50:00,Fine Particles 2_5,5.0
2022-03-26 21:50:00,Fine Particles 10,9.0
2022-03-26 21:50:00,ABC Status,1.0
2022-03-26 21:48:00,CO2,400.0
2022-03-26 21:48:00,PRESSURE,1037.0
2022-03-26 21:48:00,Temperature,22.0
2022-03-26 21:48:00,Relative Humidity,28.0
2022-03-26 21:48:00,Fine Particles 2_5,5.0
2022-03-26 21:48:00,Fine Particles 10,9.0
2022-03-26 21:48:00,ABC Status,1.0
2022-03-26 21:46:00,CO2,400.0
2022-03-26 21:46:00,PRESSURE,1037.0
2022-03-26 21:46:00,Temperature,22.0
2022-03-26 21:46:00,Relative Humidity,28.0
2022-03-26 21:46:00,Fine Particles 2_5,5.0
2022-03-26 21:46:00,Fine Particles 10,9.0
2022-03-26 21:46:00,ABC Status,1.0
2022-03-26 21:44:00,CO2,400.0
2022-03-26 21:44:00,PRESSURE,1037.0
2022-03-26 21:44:00,Temperature,22.0
2022-03-26 21:44:00,Relative Humidity,28.0
2022-03-26 21:44:00,Fine Particles 2_5,5.0
2022-03-26 21:44:00,Fine Particles 10,9.0
2022-03-26 21:44:00,ABC Status,1.0
2022-03-26 21:42:00,CO2,400.0
2022-03-26 21:42:00,PRESSURE,1037.0
2022-03-26 21:42:00,Temperature,22.0
2022-03-26 21:42:00,Relative Humidity,28.0
2022-03-26 21:42:00,Fine Particles 2_5,5.0
2022-03-26 21:42:00,Fine Particles 10,9.0
2022-03-26 21:42:00,ABC Status,1.0
2022-03-26 21:40:00,CO2,400.0
2022-03-26 21:40:00,PRESSURE,1037.0
2022-03-26 21:40:00,Temperature,22.0
2022-03-26 21:40:00,Relative Humidity,28.0
2022-03-26 21:40:00,Fine Particles 2_5,4.0
2022-03-26 21:40:00,Fine Particles 10,6.0
2022-03-26 21:40:00,ABC Status,1.0
2022-03-26 21:38:00,CO2,400.0
2022-03-26 21:38:00,PRESSURE,1037.0
2022-03-26 21:38:00,Temperature,22.0
2022-03-26 21:38:00,Relative Humidity,28.0
2022-03-26 21:38:00,Fine Particles 2_5,5.0
2022-03-26 21:38:00,Fine Particles 10,8.0
2022-03-26 21:38:00,ABC Status,1.0
2022-03-26 21:36:00,CO2,400.0
2022-03-26 21:36:00,PRESSURE,1037.0
2022-03-26 21:36:00,Temperature,22.0
2022-03-26 21:36:00,Relative Humidity,28.0
2022-03-26 21:36:00,Fine Particles 2_5,5.0
2022-03-26 21:36:00,Fine Particles 10,8.0
2022-03-26 21:36:00,ABC Status,1.0
2022-03-26 21:34:00,CO2,400.0
2022-03-26 21:34:00,PRESSURE,1037.0
2022-03-26 21:34:00,Temperature,22.0
2022-03-26 21:34:00,Relative Humidity,28.0
2022-03-26 21:34:00,Fine Particles 2_5,5.0
2022-03-26 21:34:00,Fine Particles 10,9.0
2022-03-26 21:34:00,ABC Status,1.0
2022-03-26 21:32:00,CO2,400.0
2022-03-26 21:32:00,PRESSURE,1037.0
2022-03-26 21:32:00,Temperature,22.0
2022-03-26 21:32:00,Relative Humidity,28.0
2022-03-26 21:32:00,Fine Particles 2_5,5.0
2022-03-26 21:32:00,Fine Particles 10,9.0
2022-03-26 21:32:00,ABC Status,1.0
2022-03-26 21:30:00,CO2,438.0
2022-03-26 21:30:00,PRESSURE,1037.0
2022-03-26 21:30:00,Temperature,22.0
2022-03-26 21:30:00,Relative Humidity,28.0
2022-03-26 21:30:00,Fine Particles 2_5,5.0
2022-03-26 21:30:00,Fine Particles 10,9.0
2022-03-26 21:30:00,ABC Status,1.0
2022-03-26 21:28:00,CO2,438.0
2022-03-26 21:28:00,PRESSURE,1037.0
2022-03-26 21:28:00,Temperature,22.0
2022-03-26 21:28:00,Relative Humidity,28.0
2022-03-26 21:28:00,Fine Particles 2_5,5.0
2022-03-26 21:28:00,Fine Particles 10,9.0
2022-03-26 21:28:00,ABC Status,1.0
2022-03-26 21:26:00,CO2,440.0
2022-03-26 21:26:00,PRESSURE,1037.0
2022-03-26 21:26:00,Temperature,22.0
2022-03-26 21:26:00,Relative Humidity,28.0
2022-03-26 21:26:00,Fine Particles 2_5,5.0
2022-03-26 21:26:00,Fine Particles 10,8.0
2022-03-26 21:26:00,ABC Status,1.0
2022-03-26 21:24:00,CO2,444.0
2022-03-26 21:24:00,PRESSURE,1037.0
2022-03-26 21:24:00,Temperature,22.0
2022-03-26 21:24:00,Relative Humidity,28.0
2022-03-26 21:24:00,Fine Particles 2_5,5.0
2022-03-26 21:24:00,Fine Particles 10,9.0
2022-03-26 21:24:00,ABC Status,1.0
2022-03-26 21:22:00,CO2,444.0
2022-03-26 21:22:00,PRESSURE,1037.0
2022-03-26 21:22:00,Temperature,22.0
2022-03-26 21:22:00,Relative Humidity,28.0
2022-03-26 21:22:00,Fine Particles 2_5,5.0
2022-03-26 21:22:00,Fine Particles 10,8.0
2022-03-26 21:22:00,ABC Status,1.0
2022-03-26 21:20:00,CO2,448.0
2022-03-26 21:20:00,PRESSURE,1037.0
2022-03-26 21:20:00,Temperature,22.0
2022-03-26 21:20:00,Relative Humidity,28.0
2022-03-26 21:20:00,Fine Particles 2_5,4.0
2022-03-26 21:20:00,Fine Particles 10,7.0
2022-03-26 21:20:00,ABC Status,1.0
2022-03-26 21:18:00,CO2,443.0
2022-03-26 21:18:00,PRESSURE,1037.0
2022-03-26 21:18:00,Temperature,22.0
2022-03-26 21:18:00,Relative Humidity,28.0
2022-03-26 21:18:00,Fine Particles 2_5,4.0
2022-03-26 21:18:00,Fine Particles 10,7.0
2022-03-26 21:18:00,ABC Status,1.0
2022-03-26 21:16:00,CO2,440.0
2022-03-26 21:16:00,PRESSURE,1037.0
2022-03-26 21:16:00,Temperature,22.0
2022-03-26 21:16:00,Relative Humidity,28.0
2022-03-26 21:16:00,Fine Particles 2_5,4.0
2022-03-26 21:16:00,Fine Particles 10,7.0
